species,bag,age,loss
d,B4,13,0.560230769
d,B4,13,0.269846154
d,B4,13,0.348538462
d,B5,13,0.634076923
d,B5,13,0.586538462
d,B5,13,0.271
d,B6,13,0.519538462
d,B6,13,0.322153846
d,B6,13,0.363461538
h,B1,13,0.382769231
h,B1,13,0.385153846
h,B1,13,0.288769231
h,B2,13,0.334615385
h,B2,13,0.446461538
h,B2,13,0.285
h,B3,13,0.268153846
h,B3,13,0.605461538
h,B3,13,0.414615385
o,B7,13,0.961692308
o,B7,13,0.956153846
o,B7,13,0.567538462
o,B8,13,0.771538462
o,B8,13,0.659461538
o,B8,13,0.624461538
o,B9,13,0.846153846
o,B9,13,0.747538462
o,B9,13,0.651923077
d,B4,25,-0.0596
d,B4,25,0.1072
d,B4,25,0.3796
d,B5,25,0.056
d,B5,25,0.0782
d,B5,25,0.00392
d,B6,25,0.10764
d,B6,25,0.10228
d,B6,25,-0.09444
h,B1,25,-0.036
h,B1,25,-0.02396
h,B1,25,-0.0346
h,B2,25,0.07172
h,B2,25,0.004
h,B2,25,-0.11392
h,B3,25,-0.08076
h,B3,25,-0.24148
h,B3,25,0.2056
o,B7,25,-0.01464
o,B7,25,0.37408
o,B7,25,0.42652
o,B8,25,0.02892
o,B8,25,0.14008
o,B8,25,-0.1022
o,B9,25,-0.06504
o,B9,25,0.36952
o,B9,25,0.06224
d,B4,32,0.285375
d,B4,32,0.21159375
d,B4,32,0.40565625
d,B5,32,-0.11853125
d,B5,32,-0.0870625
d,B5,32,-0.10765625
d,B6,32,0.1536875
d,B6,32,0.13875
d,B6,32,0.03703125
h,B1,32,-0.18396875
h,B1,32,-0.09128125
h,B1,32,-0.13590625
h,B2,32,0.45525
h,B2,32,0.08771875
h,B2,32,0.12875
h,B3,32,0.475625
h,B3,32,0.449875
h,B3,32,-0.1054375
o,B7,32,0.4254375
o,B7,32,0.42065625
o,B7,32,0.441375
o,B8,32,0.10565625
o,B8,32,0.450875
o,B8,32,0.46203125
o,B9,32,-0.19109375
o,B9,32,-0.189625
o,B9,32,-0.130875