id,pigment,wet,dry
d1A,Chl.a,207.6805659,1724.386199
d2A,Chl.a,150.6772771,1656.332352
d3A,Chl.a,140.2358421,1766.664976
d4A,Chl.a,162.3687255,1248.641021
d5A,Chl.a,257.6893208,2130.631067
d5B,Chl.a,210.1885627,2290.604506
d6A,Chl.a,147.2406202,1271.839294
h1A,Chl.a,135.9515514,1455.8019
h1B,Chl.a,191.4456637,1341.468397
h2A,Chl.a,175.6103107,1219.968878
h2B,Chl.a,202.0755944,1225.091037
h3A,Chl.a,81.14904471,1019.479745
h3B,Chl.a,81.01470381,951.0282897
h3C,Chl.a,61.5530418,890.139648
h3D,Chl.a,71.78374622,912.5773365
h3E,Chl.a,55.32782858,1020.030592
h3F,Chl.a,74.13968553,997.4010208
h4A,Chl.a,55.26356389,931.1417486
h4B,Chl.a,54.94934162,1776.703945
h4C,Chl.a,57.44972148,1010.634607
o1A,Chl.a,41.02551493,838.7235005
o1B,Chl.a,53.00723938,1375.661451
o1C,Chl.a,54.95089992,1363.911553
o2A,Chl.a,50.56202793,1205.700904
o2B,Chl.a,57.90861688,1071.234009
o2C,Chl.a,54.26766084,1116.662338
o3A,Chl.a,37.1690404,1043.706992
o3B,Chl.a,35.87323815,1079.89241
o3C,Chl.a,50.07106232,1023.487599
o4A,Chl.a,56.45339773,913.6537881
o4B,Chl.a,46.9225691,901.2719713
o4C,Chl.a,62.69310206,952.5238617
o5A,Chl.a,69.76975789,993.0282887
o5B,Chl.a,53.21573212,1151.826479
o5C,Chl.a,60.06118516,980.5744973
o6A,Chl.a,93.90137775,1080.95676
o6B,Chl.a,87.89494159,1061.002581
o6C,Chl.a,74.05246315,1129.479936
d1A,Chl.c,21.89184381,150.7636424
d2A,Chl.c,13.93427176,118.491996
d3A,Chl.c,11.58529889,164.6304807
d4A,Chl.c,16.12321376,148.4073172
d5A,Chl.c,38.86264331,191.6552536
d5B,Chl.c,21.64133244,130.0819029
d6A,Chl.c,15.194084,100.5799031
h1A,Chl.c,9.941808393,134.1465213
h1B,Chl.c,13.51486989,96.13388817
h2A,Chl.c,12.25164959,103.0861643
h2B,Chl.c,18.09952717,105.6969477
h3A,Chl.c,18.52600507,81.14158302
h3B,Chl.c,18.61103757,66.31726388
h3C,Chl.c,17.11726347,96.32968377
h3D,Chl.c,16.35137939,63.21205449
h3E,Chl.c,18.03173681,65.8083035
h3F,Chl.c,17.34152614,84.49591234
h4A,Chl.c,18.23383855,92.77392165
h4B,Chl.c,14.65065724,106.206555
h4C,Chl.c,11.16244999,116.1765619
o1A,Chl.c,10.66025396,66.10709546
o1B,Chl.c,13.06024371,144.8840662
o1C,Chl.c,12.19387109,166.5310425
o2A,Chl.c,16.20492545,128.7572692
o2B,Chl.c,19.75202071,121.9261777
o2C,Chl.c,15.20536039,137.4389988
o3A,Chl.c,11.42377275,93.1211173
o3B,Chl.c,9.69605879,102.046499
o3C,Chl.c,16.48365344,91.54812479
o4A,Chl.c,16.0307295,79.43308576
o4B,Chl.c,13.99409033,75.46313827
o4C,Chl.c,12.13269856,76.34491585
o5A,Chl.c,17.44731078,84.74760036
o5B,Chl.c,17.52881978,88.00543561
o5C,Chl.c,13.15368538,85.55392847
o6A,Chl.c,21.01723338,93.97667317
o6B,Chl.c,19.44446269,108.5810431
o6C,Chl.c,17.21616232,87.04859131
d1A,Caro,161.1285653,1470.047185
d2A,Caro,120.9325638,1351.924766
d3A,Caro,120.0219229,1432.388487
d4A,Caro,118.7670964,889.9760167
d5A,Caro,186.7638099,1639.349368
d5B,Caro,154.2106956,1905.725242
d6A,Caro,116.5381934,1189.674025
h1A,Caro,105.5523164,1100.762367
h1B,Caro,146.2817458,1142.952575
h2A,Caro,141.1525011,1140.962248
h2B,Caro,166.958194,917.2138555
h3A,Caro,73.88278509,893.6685175
h3B,Caro,76.92625314,848.7503982
h3C,Caro,57.64311612,672.551517
h3D,Caro,70.57902185,832.4765194
h3E,Caro,47.30999117,931.4699693
h3F,Caro,68.54534819,891.876968
h4A,Caro,14.52018945,890.3020284
h4B,Caro,30.46311808,1538.508734
h4C,Caro,11.02203928,838.6539823
o1A,Caro,36.55613232,819.8036085
o1B,Caro,48.28304877,1078.123267
o1C,Caro,49.25269053,913.1772099
o2A,Caro,40.83839562,1134.490849
o2B,Caro,58.27022694,1030.069478
o2C,Caro,51.74739385,986.3009106
o3A,Caro,42.37438097,869.7702113
o3B,Caro,38.00606437,946.2915739
o3C,Caro,53.80298689,929.2893005
o4A,Caro,56.91203951,840.8510772
o4B,Caro,50.15966997,934.6883491
o4C,Caro,55.06770473,943.7324024
o5A,Caro,68.01819178,976.1317845
o5B,Caro,54.95498832,1015.895746
o5C,Caro,47.54761677,922.4409055
o6A,Caro,82.23109874,967.2119653
o6B,Caro,80.70869277,967.1646106
o6C,Caro,66.46937082,1037.235986